id,descripcion,grupo
G44,Otros síndromes de cefalea,G00-G99
G45,Ataques de isquemia cerebral transitoria y síndromes afines,G00-G99
G46,Síndromes vasculares encefálicos en enfermedades cerebrovasculares (160-167+),G00-G99
G47,Trastornos del sueno,G00-G99
G50,Trastornos del nervio trigémino,G00-G99
G51,Trastornos del nervio facial,G00-G99
G52,Trastornos de otros nervios craneales,G00-G99
G53,Trastornos de los nervios craneales en enfermedades clasificadas en otra parte,G00-G99
G54,Trastornos de las raíces y de los plexos nerviosos,G00-G99
G55,Compresiones de las raíces y de los plexos nerviosos en enfermedades,G00-G99
G56,Mononeuropatias del miembro superior,G00-G99
G57,Mononeuropatias del miembro inferior,G00-G99
G58,Otras mononeuropatias,G00-G99
G59,Mononeuropatia en enfermedades clasificadas en otra parte,G00-G99
G60,Neuropatía hereditaria e idiopatica,G00-G99
G61,Polineuropatia inflamatoria,G00-G99
G62,Otras polineuropatias.,G00-G99
G63,Polineuropatias en enfermedades clasificadas en otra parte,G00-G99
G64,Otros trastornos del sistema nervioso periférico,G00-G99
G70,Miastenia gravis y otros trastornos neuromusculares,G00-G99
G71,Trastornos musculares primarios,G00-G99
G72,Otras miopatias,G00-G99
G73,Trastornos del músculo y de la unión neuromuscular en enfermedades clasificadas en otra parte,G00-G99
G80,Parálisis cerebral infantil,G00-G99
G81,Hemiplejía,G00-G99
G82,Paraplejia y cuadriplejia,G00-G99
G83,Otros síndromes paraliticos,G00-G99
G90,Trastornos del sisterna nervioso autónomo,G00-G99
G91,Hidrocéfalo,G00-G99
G92,Encefalopatia tóxica,G00-G99
G93,Otros trastornos del encéfalo,G00-G99
G94,Otros trastornos del encéfalo en enfermedades clasificadas en otra parte,G00-G99
G95,Otras enfermedades de la medula espinal,G00-G99
G96,Otros trastornos del sistema nervioso central,G00-G99
G97,"Trastornos del sistema nervioso consecutivos a procedimientos, no clasificados en otra parte",G00-G99
G98,"Otros trastornos del sistema nervioso, no clasificados en otra parte",G00-G99
G99,Otros trastornos del sistema nervioso en enfermedades clasificadas en otra parte,G00-G99
H00,Orzuelo y calacio,H00-H59
H01,Otras inflamaciones del pårpado,H00-H59
H02,Otros trastornos de los párpados,H00-H59
H03,Trastornos del pårpado en enfermedades clasificadas en otra parte,H00-H59
H04,Trastornos del aparato lagrimal,H00-H59
H05,Trastornos de la órbita,H00-H59
H06,Trastornos del aparato lagrimal y de la órbita en enfermedades clasificadas en otra parte,H00-H59
H10,Conjuntivitis,H00-H59
H11,Otros trastornos de la conjuntiva,H00-H59
H13,Trastornos de la conjuntiva en enfermedades clasificadas en otra parte,H00-H59
H15,Trastornos de la esclerótica,H00-H59
H16,Queratitis,H00-H59
H17,Opacidades y cicatrices corneales,H00-H59
H18,Otros trastornos de la cornea,H00-H59
H19,Trastornos de la esclerótica y de la cornea en enfermedades clasificadas en otra parte,H00-H59
H20,Iridociclitis,H00-H59
H21,Otros trastornos del iris y del cuerpo ciliar,H00-H59
H22,Trastornos del iris y del cuerpo ciliar en enfermedades clasificadas en otra parte,H00-H59
H25,Catarata senil,H00-H59
H26,Otras cataratas,H00-H59
H27,Otros trastornos del cristalino,H00-H59
H28,Catarata y otros trastornos del cristalino en enfermedades clasificadas en otra parte,H00-H59
H30,Inflamación coriorretiniana,H00-H59
H31,Otros trastornos de la coroides,H00-H59
H32,Trastornos coriorretinianos en enfermedades clasificadas en otra parte,H00-H59
H33,Desprendimiento y desgarro de la retina,H00-H59
H34,Oclusión vascular de la retina,H00-H59
H35,Otros trastornos de la retina,H00-H59
H36,Trastornos de la retina en enfermedades clasificadas en otra parte,H00-H59
H40,Glaucoma,H00-H59
H42,Glaucoma en enfermedades clasificadas en otra parte,H00-H59
H43,Trastornos del cuerpo vitreo,H00-H59
H44,Trastornos del globo ocular,H00-H59
H45,Trastornos del cuerpo vitreo y del globo ocular en enfermedades clasificadas,H00-H59
H46,Neuritis óptica,H00-H59
H47,Otros trastornos del nervio óptico [II par] y de las vias ópticas,H00-H59
H48,Trastornos del nervio óptico [II par] y de las vías ópticas en enfermedades clasificadas en otra parte,H00-H59
H49,Estrabismo paralítico,H00-H59
H50,Otros estrabismos,H00-H59
H51,Otros trastornos de los movimientos binoculares,H00-H59
H52,Trastornos de la acomodación y de la refracción,H00-H59
H53,Alteraciones de la visión,H00-H59
H54,Ceguera y disminución de la agudeza visual,H00-H59
H55,Nistagmo y otros movimientos oculares irregulares,H00-H59
H57,Otros trastornos del ojo y sus anexos,H00-H59
H58,Otros trastornos del ojo y sus anexos en enfermedades clasificadas en otra parte,H00-H59
H59,"Trastornos del ojo y sus anexos consecutivos a procedimientos, no clasificados en otra parte",H00-H59
H60,Otitis externa,H60-H95
H61,Otros trastornos del oído externo,H60-H95
H62,Trastornos del oído externo en enfermedades clasificadas en otra parte,H60-H95
H65,Otitis media no supurativa,H60-H95
H66,Otitis media supurativa y la no especificada,H60-H95
H67,Otitis media en enfermedades clasificadas en otra parte,H60-H95
H68,Inflamación y obstrucción de la trompa de Eustaquio,H60-H95
H69,Otros trastornos de la trompa de Eustaquio,H60-H95
H70,Mastoiditis y afecciones relacionadas,H60-H95
H71,Colesteatoma del oído medio,H60-H95
H72,Perforación de la membrana timpánica,H60-H95
H73,Otros trastornos de la membrana timpánica,H60-H95
H74,Otros trastornos del oído medio y de la apófisis mastoides,H60-H95
H75,Otros trastornos del oído medio y de la apófisis mastoides en enfermedades clasificadas en otra parte,H60-H95
H80,Otosclerosis,H60-H95
H81,Trastornos de la función vesicular,H60-H95
H82,Síndromes vertiginosos en enfermedades clasificadas en otra parte,H60-H95
H83,Otros trastornos del oído interno,H60-H95
H90,Hipoacusia conductiva y neurosensorial,H60-H95
H91,Otras hipoacusias,H60-H95
H92,Otalgia y secreción del oido,H60-H95
H93,"Otros trastornos del oído, no clasificados en otra parte",H60-H95
H94,Otros trastornos del oído en enfermedades clasificadas en otra parte,H60-H95
H95,"Trastornos del oído y de la apofisis mastoides consecutivos a procedimientos, no clasificados en otra parte",H60-H95
I00,Fiebre reumática sin mención de complicación cardiaca,I00-I99
I01,Fiebre reumática con complicación cardiaca,I00-I99
I02,Corea reumática,I00-I99
I05,Enfermedades reumáticas de la válvula mitral,I00-I99
I06,Enfermedades reumáticas de la válvula aórtica,I00-I99
I07,Enfermedades reumáticas de la válvula tricúspide,I00-I99
I08,Enfermedades valvulares múltiples,I00-I99
I09,Otras enfermedades reumáticas del corazón,I00-I99
I10,Hipertensión esencial (primaria),I00-I99
I11,Enfermedad cardiaca hipertensiva,I00-I99
I12,Enfermedad renal hipertensiva,I00-I99
I13,Enfermedad cardiorrenal hipertensiva,I00-I99
I15,Hipertensión secundaria,I00-I99
I20,Angina de pecho,I00-I99
I21,Infarto agudo del miocardio,I00-I99
I22,Infarto subsecuente del miocardio,I00-I99
I23,Ciertas complicaciones presentes posteriores al infarto agudo del miocardio,I00-I99
I24,Otras enfermedades isquémicas agudas del corazón,I00-I99
I25,Enfermedad isquémica crónica del corazón,I00-I99
I26,Embolia pulmonar,I00-I99
I27,Otras enfermedades cardiopulmonares,I00-I99
I28,Otras enfermedades de los vasos pulmonares,I00-I99
I30,Pericarditis aguda,I00-I99
I31,Otras enfermedades del pericardio,I00-I99
I32,Pericarditis en enfermedades clasificadas en otra parte,I00-I99
I33,Endocarditis aguda y subaguda,I00-I99
I34,Trastornos no reumáticos de la válvula mitral,I00-I99
I35,Trastornos no reumáticos de la válvula aórtica,I00-I99
I36,Trastornos no reumáticos de la válvula tricúspide,I00-I99
I37,Trastornos de la válvula pulmonar,I00-I99
I38,"Endocarditis, válvula no especificada",I00-I99
I39,Endocarditis y trastornos valvulares en enfermedades clasificadas en otra parte,I00-I99
I40,Miocarditis aguda,I00-I99
I41,Miocarditis en enfermedades clasificadas en otra parte,I00-I99
I42,Cardiomiopatia,I00-I99
I43,Cardiomiopatia en enfermedades clasificadas en otra parte,I00-I99
I44,Bloqueo auriculoventricular y de rama izquierda del haz,I00-I99
I45,Otros trastornos de la conducción,I00-I99
I46,Paro cardiaco,I00-I99
I47,Taquicardia paroxistica,I00-I99
I48,Fibrilacion y aleteo auricular,I00-I99
I49,Otras arritmias cardiacas,I00-I99
I50,Insuficiencia cardiaca,I00-I99
I51,Complicaciones y descripciones mal definidas de enfermedad cardiaca,I00-I99
I52,Otros trastornos cardiacos en enfermedades clasificadas en otra parte,I00-I99
I60,Hemorragia subaracnoidea,I00-I99
I61,Hemorragia intraencefalica,I00-I99
I62,Otras hemorragias intracraneales no traumáticas,I00-I99
I63,Infarto cerebral,I00-I99
I64,"Accidente vascular encefálico agudo, no especificado como hemorrágico o isquémico",I00-I99
I65,Oclusión y estenosis de las arterias precerebrales sin ocasionar infarto cerebral,I00-I99
I66,Oclusión y estenosis de las arterias cerebrales sin ocasionar infarto cerebral,I00-I99
I67,Otras enfermedades cerebrovasculares,I00-I99
I68,Trastornos cerebrovasculares en enfermedades clasificadas en otra parte,I00-I99
I69,Secuelas de enfermedad cerebrovascular,I00-I99
I70,Arteriosclerosis,I00-I99
I71,Aneurisma y disección aórticos,I00-I99
I72,Otros aneurismas,I00-I99
I73,Otras enfermedades vasculares periféricas,I00-I99
I74,Embolia y trombosis arteriales,I00-I99
I77,Otros trastornos arteriales o arteriolares,I00-I99
I78,Enfermedades de los vasos capilares,I00-I99
I79,"Trastornos de las arterias, de las arteriolas y de los vasos capilares en enfermedades clasificadas en otra parte",I00-I99
I80,Flebitis y tromboflebitis,I00-I99
I81,Trombosis de la vena porta,I00-I99
I82,Otras embolias y trombosis venosas,I00-I99
I83,Venas varicosas de los miembros inferiores,I00-I99
I84,Hemorroides,I00-I99
I85,Varices esofágicas,I00-I99
I86,Varices de otros sitios,I00-I99
I87,Otros trastornos de las venas,I00-I99
I88,Linfadenitis inespecifica,I00-I99
I89,Otros trastornos no infecciosos de los vasos y ganglios linfáticos,I00-I99
I95,Hipotensión,I00-I99
I97,"Trastornos del sistema circulatorio consecutivos a procedimientos, no",I00-I99
I98,Otros trastornos del sistema circulatorio en enfermedades clasificadas en otra parte,I00-I99
I99,Otros trastornos y los no especificados del sistema circulatorio,I00-I99
J00,Rinofaringitis aguda [resfriado común],J00-J99
J01,Sinusitis aguda,J00-J99
J02,Faringitis aguda,J00-J99
J03,Amigdalitis aguda,J00-J99
J04,Laringitis y traqueitis agudas,J00-J99
J05,Laringitis obstructiva aguda [crup] y epiglotitis,J00-J99
J06,"Infecciones agudas de las vías respiratorias superiores, de sitios múltiples o no especificados",J00-J99
J10,Influenza debida a virus de la influenza identificado,J00-J99
J11,Influenza debida a virus no identificado,J00-J99
J12,"Neumonía viral, no clasificada en otra parte",J00-J99
J14,Neurnonía debida a Haemophilus influenzae,J00-J99
J13,Neurnonía debida a Streptococcus pneumoniae,J00-J99
J15,"Neumonía bacteriana, no clasificada en otra parte",J00-J99
J16,"Neurnonía debida a oíros microorganismos infecciosos, no clasificados en otra parte",J00-J99
J17,Neumonía en enfermedades clasificadas en otra parte,J00-J99
J18,"Neumonía, organismo no especificado",J00-J99
J20,Bronquitis aguda,J00-J99
J21,Bronquiolitis aguda,J00-J99
J22,Infección aguda no especificada de las vías respiratorias inferiores,J00-J99
J30,Rinitis alérgica y vasomotora,J00-J99
J31,"Rinitis, rinofaringitis y faringitis crónicas",J00-J99
J32,Sinusitis crónica,J00-J99
J33,Pólipo nasal,J00-J99
J34,Otros trastornos de la nariz y de los senos paranasales,J00-J99
J35,Enfermedades crónicas de las amigdalas y de las adenoides,J00-J99
J36,Absceso periamigdalino,J00-J99
J37,Laringitis y laringotraqueitis crónicas,J00-J99
J38,"Enfermedades de las cuerdas vocales y de la laringe, no clasificadas en otra parte",J00-J99
J39,Otras enfermedades de las vías respiratorias superiores,J00-J99
J40,"Bronquitis, no especificada como aguda o crónica",J00-J99
J41,Bronquitis crónica simple y mucopurulenta,J00-J99
J42,Bronquitis crónica no especificada,J00-J99
J43,Enfisema,J00-J99
J44,Otras enfermedades pulmonares obstructivas crónicas,J00-J99
J45,Asma,J00-J99
J46,Estado asmático,J00-J99
J47,Bronquiectasia,J00-J99
J60,Neumoconiosis de los mineros del carbón,J00-J99
J61,Neumoconiosis debida al asbesto y a otras fibras minerales,J00-J99
J62,Neumoconiosis debida a polvo de sílice,J00-J99
J63,Neumoconiosis debida a otros polvos inorgánicos,J00-J99
J64,"Neumoconiosis, no especificada",J00-J99
J65,Neumoconiosis asociada con tuberculosis,J00-J99
J66,Enfermedades de las vías aéreas debidas a polvos orgánicos específicos,J00-J99
J67,Neumonitis debida a hipersensibilidad al polvo orgánico,J00-J99
J68,"Afecciones respiratorias debidas a inhalación de gases, humos, vapores y sustancias químicas",J00-J99
J69,Neumonitis debida a sólidos y líquidos,J00-J99
J70,Afecciones respiratorias debidas a otros agentes externos,J00-J99
J80,Síndrome de dificultad respiratoria del adulto,J00-J99
J81,Edema pulmonar,J00-J99
J82,"Eosinofilia pulmonar, no clasificada en otra parte",J00-J99
J84,Otras enfermedades pulmonares intersticiales,J00-J99
J85,Absceso del pulmón y del mediastino,J00-J99
J86,Piotorax,J00-J99
J90,Derrame pleural no clasificado en otra parte,J00-J99
J91,Derrame pleural en afecciones clasificadas en otra parte,J00-J99
J92,Paquipleuritis,J00-J99
J93,Neumotorax,J00-J99
J94,Otras afecciones de la pleura,J00-J99
J95,"Trastornos del sistema respiratorio consecutivos a procedimientos, no",J00-J99
J96,"Insuficiencia respiratoria, no clasificada en otra parte",J00-J99
J98,Otros trastornos respiratorios,J00-J99
J99,Trastornos respiratorios en enfermedades clasificadas en otra parte,J00-J99
K00,Trastornos del desarrollo y de la erupción de los dientes,K00-K93
K01,Dientes incluidos e impactados,K00-K93
K02,Caries dental,K00-K93
K03,Otras enfermedades de los tejidos duros de los dientes,K00-K93
K04,Enfermedades de la pulpa y de los tejidos periapicales,K00-K93
K05,Gingivitis y enfermedades periodontales,K00-K93
K06,Otros trastornos de la encía y de la zona edentula,K00-K93
K07,Anomalías dentofaciales [incluso la maloclusion],K00-K93
K08,Otros trastornos de los dientes y de sus estructuras de sostén,K00-K93
K09,"Quistes de la región bucal, no clasificados en otra parte",K00-K93
K10,Otras enfermedades de los maxilares,K00-K93
K11,Enfermedades de las glándulas salivales,K00-K93
K12,Estomatitis y lesiones afines,K00-K93
K13,Otras enfermedades de los labios y de la mucosa bucal,K00-K93
K14,Enfermedades de la lengua,K00-K93
K20,Esofagitis,K00-K93
K21,Enfermedad del reflujo gastroesofagico,K00-K93
K22,Otras enfermedades del esófago,K00-K93
K23,Trastornos del esófago en enfermedades clasificadas en otra parte,K00-K93
K25,Ulcera gástrica,K00-K93
K26,Ulcera duodenal,K00-K93
K27,"Ulcera péptica, de sitio no especificado",K00-K93
K28,Ulcera gastroyeyunal,K00-K93
K29,Gastritis y duodenitis,K00-K93
K30,Dispepsia,K00-K93
K31,Otras enfermedades del estomago y del duodeno,K00-K93
K35,Apendicitis aguda,K00-K93
K36,Otros tipos de apendicitis,K00-K93
K37,"Apendicitis, no especificada",K00-K93
K38,Otras enfermedades del apéndice,K00-K93
K40,Hernia inguinal,K00-K93
K41,Hernia femoral,K00-K93
K42,Hernia umbilical,K00-K93
K43,Hernia ventral,K00-K93
K44,Hernia diafragmatica,K00-K93
K45,Otras hernias de la cavidad abdominal,K00-K93
K46,Hernia no especificada de la cavidad abdominal,K00-K93
K50,Enfermedad de Crohn [enteritis regional],K00-K93
K51,Colitis ulcerativa,K00-K93
K52,Otras colitis y gastroenteritis no infecciosas,K00-K93
K55,Trastornos vasculares de los intestinos,K00-K93
K56,ileo paralítico y obstrucción intestinal sin hernia,K00-K93
K57,Enfermedad diverticular del intestino,K00-K93
K58,Síndrome del colon irritable,K00-K93
K59,Otros trastornos funcionales del intestino,K00-K93
K60,Fisura y fístula de las regiones anal y rectal,K00-K93
K61,Absceso de las regiones anal y rectal,K00-K93
K62,Otras enfermedades del ano y del recto,K00-K93
K63,Otras enfermedades de los intestinos,K00-K93
K65,Peritonitis,K00-K93
K66,Otras Trastornos del peritoneo,K00-K93
K67,Trastornos del peritoneo en enfermedades infecciosas clasificadas en otra parte,K00-K93
K70,Enfermedad alcohólica del hígado,K00-K93
K71,Enfermedad tóxica del hígado,K00-K93
K72,"Insuficiencia hepática, no clasificada en otra parte",K00-K93
K73,"Hepatitis crónica, no clasificada en otra parte",K00-K93
K74,Fibrosis y cirrosis del hígado,K00-K93
K75,Otras enfermedades inflamatorias del hígado,K00-K93
K76,Otras enfermedades del higado,K00-K93
K77,Trastornos del hígado en enfermedades clasificadas en otra parte,K00-K93
K80,Colelitiasis,K00-K93
K81,Colecistitis,K00-K93
K82,Otras enfermedades de la vesícula biliar,K00-K93
K83,Otras enfermedades de las vías biliares,K00-K93
K85,Pancreatitis aguda,K00-K93
K86,Otras enfermedades del páncreas,K00-K93
K87,"Trastornos de la vesícula biliar, de las vias biliares y del páncreas en enfermedades clasificadas en otra parte",K00-K93
K90,Malabsorcion intestinal,K00-K93
K91,"Trastornos del sistema digestivo consecutivos a procedimientos, no clasificados en otra parte",K00-K93
K92,Otras enfermedades del sistema digestivo,K00-K93
K93,Trastornos de otros órganos digestivos en enfermedades clasificadas en otra parte,K00-K93
L00,Sindrome estafilococo de la piel escaldada,L00-L99
L01,Impétigo,L00-L99
L02,"Absceso cutáneo, furúnculo y carbunco",L00-L99
L03,Celulitis,L00-L99
L04,Linfadenitis aguda,L00-L99
L05,Quiste pilonidal,L00-L99
L08,Otras infecciones locales de la piel y del tejido subcutáneo,L00-L99
L10,Penfigo,L00-L99
L11,Otros trastornos acantoliticos,L00-L99
L12,Penfigoide,L00-L99
L13,Otros trastornos flictenulares,L00-L99
L14,Trastornos flictenulares en enfermedades clasificadas en otra parte,L00-L99
L20,Dermatitis atópica,L00-L99
L21,Dermatitis seborreica,L00-L99
L22,Dermatitis del pañal,L00-L99
L23,Dermatitis alérgica de contacto,L00-L99
L24,Dermatitis de contacto por irritantes,L00-L99
L25,"Dermatitis de contacto, forma no especificada",L00-L99
L26,Dermatitis exfoliativa,L00-L99
L27,Dermatitis debida a sustancias ingeridas,L00-L99
L28,Liquen simple crónico y prurigo,L00-L99
L29,Prurito,L00-L99
L30,Otras dermatitis,L00-L99
L40,Psoriasis,L00-L99
L41,Parapsoriasis,L00-L99
L42,Pitiriasis rosada,L00-L99
L43,Liquen plano,L00-L99
L44,Otros trastornos papuloescamosos,L00-L99
L45,Trastornos papuloescamosos en enfermedades clasificadas en otra parte,L00-L99
L50,Urticaria,L00-L99
L51,Eritema multiforme,L00-L99
L52,Eritema nudoso,L00-L99
L53,Otras afecciones eritematosas,L00-L99
L54,Eritema en enfermedades clasificadas en otra parte,L00-L99
L55,Quemadura solar,L00-L99
L56,Otros cambios agudos de la piel debidos a radiación ultravioleta,L00-L99
L57,Cambios de la piel debidos a exposición crónica a radiación no ionizante,L00-L99
L58,Radiodermatitis,L00-L99
L59,Otros trastornos de la piel y del tejido subcutáneo relacionados con radiación,L00-L99
L60,Trastornos de las uñas,L00-L99
L62,Trastornos de las uñas en enfermedades clasificadas en otra parte,L00-L99
L63,Alopecia areata,L00-L99
L64,Alopecia androgena,L00-L99
L65,Otra perdida no cicatricial del pelo,L00-L99
L66,Alopecia cicatricial [perdida cicatricial del pelo],L00-L99
L67,Anormalidades del tallo y del color del pelo,L00-L99
L68,Hipertricosis,L00-L99
L70,Canee,L00-L99
L71,Rosácea,L00-L99
L72,Quiste folicular de la piel y del tejido subcutáneo,L00-L99
L73,Otros trastornos foliculares,L00-L99
L74,Trastornos sudoríparos ecrinos,L00-L99
L75,Trastornos sudoríparos apocrinos,L00-L99
L80,Vitiligo,L00-L99
L81,Otros trastornos de la pigmentación,L00-L99
L82,Queratosis seborreica,L00-L99
L83,Acantosis nigricans,L00-L99
L84,Callos y callosidades,L00-L99
L85,Otros tipos de engrasamiento epidérmico,L00-L99
L86,Queratoderma en enfermedades clasificadas en otra parte,L00-L99
L87,Trastornos de la eliminación transepidermica,L00-L99
L88,Pioderma gangrenoso,L00-L99
L89,Ulcera de decúbito,L00-L99
L90,Trastornos atroficos de la piel,L00-L99
L91,Trastornos hipertróficos de la piel,L00-L99
L92,Trastornos granulomatosos de la piel y del tejido subcutáneo,L00-L99
L93,Lupus eritematoso,L00-L99
L94,Otros trastornos localizados del tejido conjuntivo,L00-L99
L95,"Vasculitis limitada a la piel, no clasificada en otra parte",L00-L99
L97,"Ulcera de miembro inferior, no clasificada en otra parte",L00-L99
L98,"Otros trastornos de la piel y del tejido subcutáneo, no clasificados en otra parte",L00-L99
L99,Otros trastornos de la pie! y del tejido subcutáneo en enfermedades clasificadas en otra parte,L00-L99
M00,Artritis piogena,M00-M99
M01,Infecciones directas de la articulación en enfermedades infecciosas y parasitarias clasificadas en otra parte,M00-M99
M02,Artropatias reactivas,M00-M99
M03,Artropatias postinfecciosas y reactivas en enfermedades clasificadas en Poliartropatías inflamatorias,M00-M99
M05,Artritis reumatoide seropositiva,M00-M99
M06,Otras artritis reumatoides,M00-M99
M07,Artropatias psoriasicas y enteropaticas,M00-M99
M08,Artritis juvenil,M00-M99
M09,Artritis juvenil en enfermedades clasificadas en otra parte,M00-M99
M10,Gota,M00-M99
M11,Otras artropatias por cristales,M00-M99
M12,Otras artropatias especificas,M00-M99
M13,Otras artritis,M00-M99
M14,Artropatia en otras enfermedades clasificadas en otra parte,M00-M99
M15,Poliartrosis,M00-M99
M16,Coxartrosis [artrosis de la cadera],M00-M99
M17,Gonartrosis [artrosis de la rodilla],M00-M99
M18,Artrosis de la primera articulación carpometacarpiana,M00-M99
M19,Otras artrosis,M00-M99
M20,Deformidades adquiridas de los dedos de la mano y del pie,M00-M99
M21,Otras deformidades adquiridas de los miembros,M00-M99
M22,Trastornos de la rotula,M00-M99
M23,Trastorno interno de la rodilla,M00-M99
M24,Otros trastornos articulares específicos,M00-M99
M25,"Otros trastofnos articulares, no clasificados en otra parte",M00-M99
M30,Poliarteritis nudosa y afecciones relacionadas,M00-M99
M31,Otras vasculopatias necrotizantes,M00-M99
M32,Lupus eritematoso sistemico,M00-M99
M33,Dermatopolimiositis,M00-M99
M34,Esclerosis sistemica,M00-M99
M35,Otro compromiso sistemico del tejido conjuntivo,M00-M99
M36,Trastornos sistémicos del tejido conjuntivo en enfermedades clasificadas en otra parte,M00-M99
M40,Cifosis y lordosis,M00-M99
M41,Escoliosis,M00-M99
M42,Osteocondrosis de la columna vertebral,M00-M99
M43,Otras dorsopatias deformantes,M00-M99
M45,Espondilitis anquilosante,M00-M99
M46,Otras espondilopatias inflamatorias,M00-M99
M47,Espondilosis,M00-M99
M48,Otras espondilopatias,M00-M99
M49,Espondilopatias en enfermedades clasificadas en otra parte,M00-M99
M50,Trastornos de disco cervical,M00-M99
M51,Otros trastornos de los discos intervertebrales,M00-M99
M53,"Otrasdorsopatias, no clasificadas en otra parte",M00-M99
M54,Dorsalgia,M00-M99
M60,Miositis,M00-M99
M61,Calcificación y osificación del músculo,M00-M99
M62,Otros trastornos de los músculos,M00-M99
M63,Trastornos de los músculos en enfermedades clasificadas en otra parte,M00-M99
M65,Sinovitis y tenosinovitis,M00-M99
M66,Ruptura espontanea de la sinovial y del tendón,M00-M99
M67,Otros trastornos de la sinovial y del tendón,M00-M99
M68,Trastornos de los tendones y de la sinovial en enfermedades clasificadas en otra parte,M00-M99
M70,"Trastornos de los tejidos blandos relacionados con el uso, el uso excesivo y la presión",M00-M99
M71,Otras bursopatias,M00-M99
M72,Trastornos fibroblasticos,M00-M99
M73,Trastornos de los tejidos blandos en enfermedades clasificadas en otra parte,M00-M99
M75,Lesiones del hombro,M00-M99
M76,"Entesopatias del miembro inferior, excluido el pie",M00-M99
M77,Otras entesopatias,M00-M99
M79,"Otros trastornos de los tejidos blandos, no clasificados en otra parte",M00-M99
M80,Osteoporosis con fractura patológica,M00-M99
M81,Osteoporosis sin fractura patológica,M00-M99
M82,Osteoporosis en enfermedades clasificadas en otra parte,M00-M99
M83,Osteomalacia del adulto,M00-M99
M84,Trastornos de la continuidad del hueso,M00-M99
M85,Otros trastornos de la densidad y de la estructura óseas,M00-M99
M86,Osteomielitis,M00-M99
M87,Osteonecrosis,M00-M99
M88,Enfermedad de Pagel de los huesos [osteitis deformante],M00-M99
M89,Otros trastornos del hueso,M00-M99
M90,Osteopatias en enfermedades clasificadas en otra parte,M00-M99
M91,Osteocondrosis juvenil de la cadera y de la pelvis,M00-M99
M92,Otras osteocondrosis juveniles,M00-M99
M93,Otras osteocondropatias,M00-M99
M94,Otros trastornos del cartílago,M00-M99
M95,Otras deformidades adquiridas del sistema osteomuscular y del tejido conjuntivo,M00-M99
M96,"Trastornos osteomusculares consecutivos a procedimientos, no clasificados en otra parte",M00-M99
M99,"Lesiones biomecánicas, no clasificadas en otra parte",M00-M99
N00,Síndrome nefrítico agudo,N00-N99
N01,Síndrome nefrítico rápidamente progresivo,N00-N99
N02,Hematuria recurrente y persistente,N00-N99
N03,Síndrome nefrítico crónico,N00-N99
N04,Sindrome nefrotico,N00-N99
N05,Sindrome nefritico no especificado,N00-N99
N06,Proteinuria aislada con lesión morfológica especificada,N00-N99
N07,"Nefropatia hereditaria, no clasificada en otra parte",N00-N99
N08,Trastornos glomerulares en enfermedades clasificadas en otra parte,N00-N99
N10,Nefritis tubulointersticial aguda,N00-N99
N11,Nefritis tubulointersticial crónica,N00-N99
N12,"Nefritis tubulointersticial, no especificada como aguda o crónica",N00-N99
N13,Uropatia obstructiva y por reflujo,N00-N99
N14,Afecciones tubulares y tubulointersticiales inducidas por drogas y por metales pesados,N00-N99
N15,Otras enfermedades renales tubulointersticiales,N00-N99
N16,Trastornos renales tubulointersticiales en enfermedades clasificadas en otra parte,N00-N99
N17,Insuficiencia renal aguda,N00-N99
N18,Insuficiencia renal crónica,N00-N99
N19,Insuficiencia renal no especificada,N00-N99
N20,Calculo del riñon y del urêter,N00-N99
N21,Calculo de las vías urinarias inferiores,N00-N99
N22,Calculo de las vías urinarias en enfermedades clasificadas en otra parte,N00-N99
N23,"Cólico renal, no especificado",N00-N99
N25,Trastornos resultantes de la función tubular renal alterada.,N00-N99
N26,"Rincón contraído, no especificado",N00-N99
N27,Rincón pequeño de causa desconocida,N00-N99
N28,"Otros trastornos del rincón y del uréter, no clasificados en otra parte",N00-N99
N29,Otros trastornos del rincón y del uréter en enfermedades clasificadas en otra parte,N00-N99
N30,Cistitis,N00-N99
N31,"Disfunción neuromuscular de la vejiga, no clasificada en otra parte",N00-N99
N32,Otros trastornos de la vejiga,N00-N99
N33,Trastornos de la vejiga en enfermedades clasificadas en otra parte,N00-N99
N34,Uretritis y sindrome uretral,N00-N99
N35,Estrechez uretral,N00-N99
N36,Otros trastornos de la uretra,N00-N99
N37,Trastornos de la uretra en enfermedades clasificadas en otra parte,N00-N99
N39,Otros trastornos del sistema urinario,N00-N99
N40,Hiperplasia de la próstata,N00-N99
N41,Enfermedades inflamatorias de la próstata,N00-N99
N42,Otros trastornos de la próstata,N00-N99
N43,Hidrocele y espermatocele,N00-N99
N44,Torsión del testículo,N00-N99
N45,Orquitis y epididimitis,N00-N99
N46,Esterilidad en el varón,N00-N99
N47,"Prepucio redundante, fimosis y parafimosis",N00-N99
N48,Otros trastornos del pene,N00-N99
N49,"Trastornos inflamatorios de órganos genitales masculinos, no clasificados en otra parte",N00-N99
N50,Otros trastornos de los órganos genitales masculinos,N00-N99
N51,Trastornos de los órganos genitales masculinos en enfermedades clasificadas en otra parte,N00-N99
N60,Displasia mamaria benigna,N00-N99
N61,Trastornos inflamatorios de la mama,N00-N99
N62,Hipertrofia de la mama,N00-N99
N63,Masa no especificada en la mama,N00-N99
N64,Otros trastornos de la mama,N00-N99
N70,Salpingitis y ooforitis,N00-N99
